"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs17293632-<b>?</b>,"4 x 10-27",,NR,'-,'-,'-,SMAD3,"Atopic asthma","atopic asthma",'-,GCST009850,15:67150258
rs12912010-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,SMAD3,"Atopic asthma","atopic asthma",'-,GCST009850,15:67174805
rs28617673-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,SMAD3,"Atopic asthma","atopic asthma",'-,GCST009850,15:67078906
rs12925631-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,CLEC16A,"Atopic asthma","atopic asthma",'-,GCST009850,16:11159977
rs7206912-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,CLEC16A,"Atopic asthma","atopic asthma",'-,GCST009850,16:11150801
rs79156681-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"HNRNPCP4, CLEC16A","Atopic asthma","atopic asthma",'-,GCST009850,16:11210463
rs3939286-<b>?</b>,"7 x 10-44",,NR,'-,'-,'-,"GTF3AP1, IL33","Atopic asthma","atopic asthma",'-,GCST009850,9:6210099
rs16924144-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,IL33,"Atopic asthma","atopic asthma",'-,GCST009850,9:6221246
rs72699185-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,GTF3AP1,"Atopic asthma","atopic asthma",'-,GCST009850,9:6175522
rs10975413-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,RANBP6,"Atopic asthma","atopic asthma",'-,GCST009850,9:6049843
rs138407416-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,PKN3,"Atopic asthma","atopic asthma",'-,GCST009850,9:128710523
rs544253-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,GTF3AP1,"Atopic asthma","atopic asthma",'-,GCST009850,9:6142157
rs12722502-<b>?</b>,"9 x 10-14",,NR,'-,'-,'-,IL2RA,"Atopic asthma","atopic asthma",'-,GCST009850,10:6051176
rs7918084-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,EIF2S2P3,"Atopic asthma","atopic asthma",'-,GCST009850,10:92669710
rs7893324-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"RPL32P23, IL2RA","Atopic asthma","atopic asthma",'-,GCST009850,10:6069112
rs17406680-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,'-,"Atopic asthma","atopic asthma",'-,GCST009850,10:9166241
rs41284471-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,PRKCQ-AS1,"Atopic asthma","atopic asthma",'-,GCST009850,10:6584252
rs1444782-<b>?</b>,"4 x 10-27",,NR,'-,'-,'-,'-,"Atopic asthma","atopic asthma",'-,GCST009850,10:9016708
rs2589561-<b>?</b>,"9 x 10-27",,NR,'-,'-,'-,LINC02676,"Atopic asthma","atopic asthma",'-,GCST009850,10:9004682
rs12413578-<b>?</b>,"3 x 10-23",,NR,'-,'-,'-,LINC02676,"Atopic asthma","atopic asthma",'-,GCST009850,10:9007290
rs2025758-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,LINC02676,"Atopic asthma","atopic asthma",'-,GCST009850,10:8799706
rs72782676-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,LINC02676,"Atopic asthma","atopic asthma",'-,GCST009850,10:8990592
rs1143869-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,LINC00709,"Atopic asthma","atopic asthma",'-,GCST009850,10:9251327
rs17145188-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,'-,"Atopic asthma","atopic asthma",'-,GCST009850,10:9066555
rs75861713-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,LINC02676,"Atopic asthma","atopic asthma",'-,GCST009850,10:8956766
rs10791824-<b>?</b>,"6 x 10-14",,NR,'-,'-,'-,OVOL1,"Atopic asthma","atopic asthma",'-,GCST009850,11:65791795
rs7936312-<b>?</b>,"5 x 10-56",,NR,'-,'-,'-,"LINC02757, EMSY","Atopic asthma","atopic asthma",'-,GCST009850,11:76582682
rs55646091-<b>?</b>,"7 x 10-41",,NR,'-,'-,'-,"LINC02757, EMSY","Atopic asthma","atopic asthma",'-,GCST009850,11:76588387
rs72944758-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,EMSY,"Atopic asthma","atopic asthma",'-,GCST009850,11:76462904
rs12365699-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"CXCR5, Y_RNA","Atopic asthma","atopic asthma",'-,GCST009850,11:118872577
rs143942614-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,GUCY2EP,"Atopic asthma","atopic asthma",'-,GCST009850,11:76708897
rs12935657-<b>?</b>,"1 x 10-25",,NR,'-,'-,'-,CLEC16A,"Atopic asthma","atopic asthma",'-,GCST009850,16:11125184
rs12600062-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,PLA2G15,"Atopic asthma","atopic asthma",'-,GCST009850,16:68253641
rs9940480-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,IL4R,"Atopic asthma","atopic asthma",'-,GCST009850,16:27338117
rs1158136-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,IL21R,"Atopic asthma","atopic asthma",'-,GCST009850,16:27408716
rs151770-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"HNRNPCP4, RMI2","Atopic asthma","atopic asthma",'-,GCST009850,16:11246664
rs16948048-<b>?</b>,"3 x 10-17",,NR,'-,'-,'-,"ZNF652, PHB","Atopic asthma","atopic asthma",'-,GCST009850,17:49363104
rs4793090-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"PTP4A2P1, NAGLU","Atopic asthma","atopic asthma",'-,GCST009850,17:42534324
rs113366589-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,STAT3,"Atopic asthma","atopic asthma",'-,GCST009850,17:42364598
rs4795413-<b>?</b>,"8 x 10-11",,NR,'-,'-,'-,PSMD3,"Atopic asthma","atopic asthma",'-,GCST009850,17:39994693
rs150260796-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"CSF3, PSMD3","Atopic asthma","atopic asthma",'-,GCST009850,17:40012575
rs75905358-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,MSL1,"Atopic asthma","atopic asthma",'-,GCST009850,17:40128610
rs9903269-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,"CDK12, NEUROD2","Atopic asthma","atopic asthma",'-,GCST009850,17:39586130
rs79411018-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,IKZF3,"Atopic asthma","atopic asthma",'-,GCST009850,17:39850018
rs145835664-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,MED1,"Atopic asthma","atopic asthma",'-,GCST009850,17:39423130
rs56380902-<b>?</b>,"6 x 10-39",,NR,'-,'-,'-,GSDMB,"Atopic asthma","atopic asthma",'-,GCST009850,17:39910119
rs3859192-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,GSDMA,"Atopic asthma","atopic asthma",'-,GCST009850,17:39972395
rs7224548-<b>?</b>,"8 x 10-10",,NR,'-,'-,'-,"MAP3K14-AS1, SPATA32","Atopic asthma","atopic asthma",'-,GCST009850,17:45259769
rs10305290-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,IGFBP4,"Atopic asthma","atopic asthma",'-,GCST009850,17:40448294
rs9889953-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,"SMARCE1, CCR7","Atopic asthma","atopic asthma",'-,GCST009850,17:40598548
rs112401631-<b>?</b>,"6 x 10-16",,NR,'-,'-,'-,"SMARCE1, CCR7","Atopic asthma","atopic asthma",'-,GCST009850,17:40608272
rs12964116-<b>?</b>,"5 x 10-14",,NR,'-,'-,'-,SERPINB7,"Atopic asthma","atopic asthma",'-,GCST009850,18:63775385
rs117552144-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,GNA15,"Atopic asthma","atopic asthma",'-,GCST009850,19:3136093
rs118013485-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"SLC7A10, CEBPA","Atopic asthma","atopic asthma",'-,GCST009850,19:33235671
rs2766666-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,"Y_RNA, ZNF217","Atopic asthma","atopic asthma",'-,GCST009850,20:53555602
rs2834787-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,RUNX1,"Atopic asthma","atopic asthma",'-,GCST009850,21:35130261
rs141343442-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,D2HGDH,"Atopic asthma","atopic asthma",'-,GCST009850,2:241751355
rs7370843-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,D2HGDH,"Atopic asthma","atopic asthma",'-,GCST009850,2:241734689
rs34290285-<b>?</b>,"2 x 10-41",,NR,'-,'-,'-,D2HGDH,"Atopic asthma","atopic asthma",'-,GCST009850,2:241759225
rs115572130-<b>?</b>,"8 x 10-11",,NR,'-,'-,'-,GAL3ST2,"Atopic asthma","atopic asthma",'-,GCST009850,2:241800856
rs3771175-<b>?</b>,"8 x 10-50",,NR,'-,'-,'-,"IL1RL1, IL18R1","Atopic asthma","atopic asthma",'-,GCST009850,2:102343750
rs10167431-<b>?</b>,"8 x 10-17",,NR,'-,'-,'-,IL1RL2,"Atopic asthma","atopic asthma",'-,GCST009850,2:102236342
rs13017455-<b>?</b>,"6 x 10-29",,NR,'-,'-,'-,"IL18R1, IL1RL1","Atopic asthma","atopic asthma",'-,GCST009850,2:102348282
rs13416449-<b>?</b>,"7 x 10-12",,NR,'-,'-,'-,IL1RL2,"Atopic asthma","atopic asthma",'-,GCST009850,2:102226205
rs10174949-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,LINC00299,"Atopic asthma","atopic asthma",'-,GCST009850,2:8302118
rs13022699-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,MAP4K4,"Atopic asthma","atopic asthma",'-,GCST009850,2:101671373
rs67768228-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,SLC9A2,"Atopic asthma","atopic asthma",'-,GCST009850,2:102636570
rs17775170-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,SLC9A2,"Atopic asthma","atopic asthma",'-,GCST009850,2:102635468
rs2310313-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,"SLC9A4, SLC9A2","Atopic asthma","atopic asthma",'-,GCST009850,2:102594085
rs11688802-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,SLC9A4,"Atopic asthma","atopic asthma",'-,GCST009850,2:102510080
rs72825990-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,"SLC9A4, SLC9A2","Atopic asthma","atopic asthma",'-,GCST009850,2:102562489
rs61033544-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"SOCAR, MIR4435-2HG","Atopic asthma","atopic asthma",'-,GCST009850,2:111520962
rs79761396-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,CRTAP,"Atopic asthma","atopic asthma",'-,GCST009850,3:33123159
rs10934569-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,ILDR1,"Atopic asthma","atopic asthma",'-,GCST009850,3:121999606
rs9828592-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,GLB1,"Atopic asthma","atopic asthma",'-,GCST009850,3:33002847
rs13099273-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,LPP,"Atopic asthma","atopic asthma",'-,GCST009850,3:188415730
rs55661102-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,LPP,"Atopic asthma","atopic asthma",'-,GCST009850,3:188683350
rs112669193-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,"PIGX, NRROS","Atopic asthma","atopic asthma",'-,GCST009850,3:196650180
rs62296577-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,TBL1XR1,"Atopic asthma","atopic asthma",'-,GCST009850,3:177131952
rs11716087-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,MTND5P15,"Atopic asthma","atopic asthma",'-,GCST009850,3:176978234
rs509399-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,LINC01991,"Atopic asthma","atopic asthma",'-,GCST009850,3:187963924
rs132911-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"TOB2, TEF","Atopic asthma","atopic asthma",'-,GCST009850,22:41408156
rs58743367-<b>?</b>,"2 x 10-13",,NR,'-,'-,'-,TSLP,"Atopic asthma","atopic asthma",'-,GCST009850,5:111052064
rs12055046-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,BCLAF1P1,"Atopic asthma","atopic asthma",'-,GCST009850,5:110933992
rs41267086-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,"EHMT2, EHMT2-AS1","Atopic asthma","atopic asthma",'-,GCST009850,6:31879859
rs2596544-<b>?</b>,"7 x 10-14",,NR,'-,'-,'-,"HLA-B, DHFRP2","Atopic asthma","atopic asthma",'-,GCST009850,6:31361514
rs34492353-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,NFKBIL1,"Atopic asthma","atopic asthma",'-,GCST009850,6:31552881
rs9268813-<b>?</b>,"8 x 10-15",,NR,'-,'-,'-,"HLA-DRA, HLA-DRB9","Atopic asthma","atopic asthma",'-,GCST009850,6:32456817
rs13197384-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,"AHI1, LINC00271","Atopic asthma","atopic asthma",'-,GCST009850,6:135497759
rs2245214-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,ATG5,"Atopic asthma","atopic asthma",'-,GCST009850,6:106214866
rs34744948-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"NCR3, UQCRHP1","Atopic asthma","atopic asthma",'-,GCST009850,6:31594990
rs12212193-<b>?</b>,"2 x 10-20",,NR,'-,'-,'-,BACH2,"Atopic asthma","atopic asthma",'-,GCST009850,6:90287050
rs17843580-<b>?</b>,"4 x 10-31",,NR,'-,'-,'-,"HLA-DQA1, HLA-DQB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32647774
rs34104805-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32621440
rs3132954-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,"TSBP1, TSBP1-AS1","Atopic asthma","atopic asthma",'-,GCST009850,6:32343682
rs73730377-<b>?</b>,"2 x 10-23",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32617103
rs3997868-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32610813
rs74209703-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,"TSBP1, TSBP1-AS1","Atopic asthma","atopic asthma",'-,GCST009850,6:32313239
rs542418-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,SLC44A4,"Atopic asthma","atopic asthma",'-,GCST009850,6:31868665
rs2517690-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,"MICD, HLA-W","Atopic asthma","atopic asthma",'-,GCST009850,6:29961296
rs12196740-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"HLA-B, LINC02571","Atopic asthma","atopic asthma",'-,GCST009850,6:31353630
rs41288885-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,"HLA-DQB3, MTCO3P1","Atopic asthma","atopic asthma",'-,GCST009850,6:32717421
rs35449774-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,"HLA-DPA1, HLA-DOA","Atopic asthma","atopic asthma",'-,GCST009850,6:33063835
rs3130160-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,"HCG24, COL11A2","Atopic asthma","atopic asthma",'-,GCST009850,6:33157195
rs3116995-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"HLA-DPA3, HLA-DPB2","Atopic asthma","atopic asthma",'-,GCST009850,6:33130274
rs11751024-<b>?</b>,"5 x 10-24",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32618459
rs41263828-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,HLA-DQB1,"Atopic asthma","atopic asthma",'-,GCST009850,6:32665218
rs45613035-<b>?</b>,"5 x 10-16",,NR,'-,'-,'-,KIAA1109,"Atopic asthma","atopic asthma",'-,GCST009850,4:122219915
rs62324212-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,IL21-AS1,"Atopic asthma","atopic asthma",'-,GCST009850,4:122639784
rs1479924-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,IL2,"Atopic asthma","atopic asthma",'-,GCST009850,4:122466445
